alpha,beta1,beta2,window,corr_min_completion,corr_knn_completion,corr_min_rmsd,corr_knn_rmsd,auc_min_success,auc_knn_success
0.05,0.5,0.7,120,0.9096555594129148,0.8740541930276298,0.5445603687278686,0.5344196544089522,0.9688483667058372,0.9579560906318376
0.05,0.5,0.7,240,0.9096555594129148,0.8740541930276298,0.5445603687278686,0.5344196544089522,0.9688483667058372,0.9579560906318376
0.05,0.5,0.7,480,0.9096555594129148,0.8740541930276298,0.5445603687278686,0.5344196544089522,0.9688483667058372,0.9579560906318376
0.05,0.5,0.9,6,0.723648419,0.6605998434251183,0.43004527150849026,0.3895939005543943,0.8983072638995042,0.9238524362219968
0.05,0.5,0.9,12,0.8049459217442705,0.6170981537697439,0.4793240891912838,0.36032214453169037,0.9263791654755558,0.8795992656668989
0.05,0.5,0.9,24,0.8546981889943375,0.6865884932275471,0.5107626407505789,0.41718107796340875,0.9472957673355393,0.8826645117879456
0.05,0.5,0.9,48,0.889073184,0.7911617316399304,0.5327480478896072,0.48713694488046855,0.9611908566313436,0.9220712243077891
0.05,0.5,0.9,72,0.8989226263550933,0.8326577605590116,0.5387078464528167,0.5113777433817566,0.9644459421855074,0.9401535546217126
0.05,0.5,0.9,96,0.9059138714932562,0.8575994724298424,0.5427903876814811,0.5258049756271086,0.9680473916613372,0.9504219709151344
0.05,0.5,0.9,120,0.90952565,0.8740267577105105,0.5446837850798832,0.534810556,0.9689749966443972,0.9580617311005721
0.05,0.5,0.9,240,0.90952565,0.8740267577105105,0.5446837850798832,0.534810556,0.9689749966443972,0.9580617311005721
0.05,0.5,0.9,480,0.90952565,0.8740267577105105,0.5446837850798832,0.534810556,0.9689749966443972,0.9580617311005721
0.05,0.7,0.1,6,0.7218022429254639,0.6572021731719646,0.42799702294636355,0.3860173411294074,0.8972720144279779,0.922108743
0.05,0.7,0.1,12,0.8035999634487307,0.6135430738594722,0.4776790971135772,0.3568125249995707,0.9253384765218995,0.8779020266998111
0.05,0.7,0.1,24,0.8537665011428582,0.6835013605215707,0.5095299097092891,0.4141024933321753,0.9462751939182914,0.8814878508488577
0.05,0.7,0.1,48,0.8885345713552766,0.7890172634239025,0.5317083722317174,0.4844856816300296,0.9602872245459813,0.9212139860326154
0.05,0.7,0.1,72,0.8985478000276493,0.8311244726576081,0.5377394048312659,0.508980195,0.9636043141692996,0.9394338403171765
0.05,0.7,0.1,96,0.90567351,0.8565359293048853,0.5418757865734363,0.5236077676124923,0.9672544025601308,0.9497808804824933
0.05,0.7,0.1,120,0.9093732256660747,0.8733246739989038,0.5438019298375832,0.5327663698678864,0.968218411,0.9574835337383203
0.05,0.7,0.1,240,0.9093732256660747,0.8733246739989038,0.5438019298375832,0.5327663698678864,0.968218411,0.9574835337383203
0.05,0.7,0.1,480,0.9093732256660747,0.8733246739989038,0.5438019298375832,0.5327663698678864,0.968218411,0.9574835337383203
0.05,0.7,0.3,6,0.7221357989697545,0.6577602170017358,0.42835280892925304,0.38659981665377385,0.8975335917403771,0.9225362774281743
0.05,0.7,0.3,12,0.8038791196886651,0.6141062521709637,0.4779842349791291,0.35736901511988806,0.9255995415285023,0.8783266076622988
0.05,0.7,0.3,24,0.8540014302163712,0.6840190693411615,0.5097800456469403,0.4146125031079219,0.9465316632405465,0.8817909701341996
0.05,0.7,0.3,48,0.8887305504569953,0.7894481000638244,0.531942153,0.4849699007782362,0.9605158334736148,0.921428612
0.05,0.7,0.3,72,0.898727582,0.8314926667244613,0.537967704,0.5094448406937343,0.9638186990771807,0.9396099228328849
0.05,0.7,0.3,96,0.9058400020750778,0.8568536446020723,0.5421003040070359,0.5240550463639961,0.9674576372830364,0.9499354461547624
0.05,0.7,0.3,120,0.9095308516764391,0.873601868,0.5440241680291183,0.5331991143603935,0.9684134040170682,0.9576203796571687
0.05,0.7,0.3,240,0.9095308516764391,0.873601868,0.5440241680291183,0.5331991143603935,0.9684134040170682,0.9576203796571687
0.05,0.7,0.3,480,0.9095308516764391,0.873601868,0.5440241680291183,0.5331991143603935,0.9684134040170682,0.9576203796571687
0.05,0.7,0.5,6,0.7224631456268877,0.6583304138017061,0.4287076955288825,0.38719716151087524,0.8977469520366658,0.9229113606100611
0.05,0.7,0.5,12,0.8041386647892725,0.6146908298060265,0.47828052185291714,0.3579464154818782,0.9258145140812672,0.8786870599933594
0.05,0.7,0.5,24,0.8542052790486332,0.6845434127383566,0.5100145447699541,0.41513176511955585,0.9467422661262264,0.8820340441666663
0.05,0.7,0.5,48,0.8888832440378451,0.7898535765802975,0.5321531496287512,0.48544323502107195,0.9607018758167136,0.9216002796707479
0.05,0.7,0.5,72,0.8988589565409043,0.831817242,0.538170339,0.5098883447745496,0.9639909995706879,0.9397552519330052
0.05,0.7,0.5,96,0.905953869,0.8571146207106053,0.5422968218419235,0.5244738504825275,0.9676206861365775,0.9500621966358628
0.05,0.7,0.5,120,0.9096331621291514,0.8738129034202985,0.5442169744890956,0.5335983001459556,0.9685678642146145,0.9577352114945992
0.05,0.7,0.5,240,0.9096331621291514,0.8738129034202985,0.5442169744890956,0.5335983001459556,0.9685678642146145,0.9577352114945992
0.05,0.7,0.5,480,0.9096331621291514,0.8738129034202985,0.5442169744890956,0.5335983001459556,0.9685678642146145,0.9577352114945992
0.05,0.7,0.7,6,0.7227841620423713,0.6589123155186248,0.42906152275480636,0.38780889575161415,0.8979248276226608,0.9232257958263713
0.05,0.7,0.7,12,0.8043785697295248,0.6152963094034074,0.47856785743877495,0.3585442359899767,0.925993339,0.8789898477867155
0.05,0.7,0.7,24,0.8543781113658578,0.6850739476136058,0.5102333668706222,0.41565982141330743,0.9469166007751006,0.8822370227366738
0.05,0.7,0.7,48,0.8889928503674634,0.7902335633686111,0.5323413840563224,0.48590533613007564,0.9608569085913261,0.9217457745168611
0.05,0.7,0.7,72,0.8989421941299064,0.8320983847755057,0.5383473612986654,0.5103104811835552,0.964135922,0.9398762766434424
0.05,0.7,0.7,96,0.9060154475198247,0.8573193299543466,0.5424654219045928,0.5248640738789299,0.9677559047311319,0.9501707150577463
0.05,0.7,0.7,120,0.9096805408280118,0.873958492,0.5443804508943288,0.5339639228258737,0.9686969652752502,0.9578350357857655
0.05,0.7,0.7,240,0.9096805408280118,0.873958492,0.5443804508943288,0.5339639228258737,0.9686969652752502,0.9578350357857655
0.05,0.7,0.7,480,0.9096805408280118,0.873958492,0.5443804508943288,0.5339639228258737,0.9686969652752502,0.9578350357857655
0.05,0.7,0.9,6,0.7230987367225573,0.6595054529260496,0.4294141329433934,0.38843451299914644,0.8980769071050365,0.92348671
0.05,0.7,0.9,12,0.8045988340212631,0.6159221552635551,0.4788461549199585,0.3591619491183752,0.9261474827131451,0.8792433186132811
0.05,0.7,0.9,24,0.8545200408465181,0.6856102205559104,0.5104364974382823,0.4161961980333943,0.9470679720700523,0.8824105889268539
0.05,0.7,0.9,48,0.8890596472201142,0.7905880053391676,0.5325069199454798,0.48635589207452967,0.960990153,0.9218730825072102
0.05,0.7,0.9,72,0.8989776597066468,0.832336416,0.5384988764399424,0.5107110954799736,0.9642593875366128,0.9399852018963994
0.05,0.7,0.9,96,0.9060251821295087,0.8574684323001766,0.5426062441964915,0.5252257109958787,0.9678722885537687,0.9502686257360856
0.05,0.7,0.9,120,0.9096734878878672,0.8740395723877223,0.5445147619616694,0.5342960997058286,0.9688078794801218,0.9579230167723495
0.05,0.7,0.9,240,0.9096734878878672,0.8740395723877223,0.5445147619616694,0.5342960997058286,0.9688078794801218,0.9579230167723495
0.05,0.7,0.9,480,0.9096734878878672,0.8740395723877223,0.5445147619616694,0.5342960997058286,0.9688078794801218,0.9579230167723495
0.05,0.9,0.1,6,0.7217648034077464,0.657140937,0.42795744267158076,0.38595355938985987,0.8972409144525866,0.922058145
0.05,0.9,0.1,12,0.8035677377542828,0.6134818396907149,0.4776446513574139,0.35675200348890357,0.925306834,0.8778522576984946
0.05,0.9,0.1,24,0.8537384783174464,0.6834442657099397,0.5095011542107424,0.41404641600308767,0.9462437624509143,0.8814482676921945
0.05,0.9,0.1,48,0.8885101180719364,0.788967835,0.531680991,0.4844312239153142,0.9602589271846513,0.9211859900276362
0.05,0.9,0.1,72,0.8985248276204756,0.831080866,0.537712453,0.5089272751563292,0.9635772071655548,0.9394127152369931
0.05,0.9,0.1,96,0.9056517519932803,0.8564971112162479,0.5418491102637911,0.5235563203357995,0.9672285612530591,0.9497610361668003
0.05,0.9,0.1,120,0.9093522844697799,0.8732897677808734,0.5437754176812746,0.5327162200123091,0.9681937604408675,0.957465995
0.05,0.9,0.1,240,0.9093522844697799,0.8732897677808734,0.5437754176812746,0.5327162200123091,0.9681937604408675,0.957465995
